epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1.0,0.6810121587976977,0.5781054192987392,0.5545805418001748,0.42318913061598734,0.4800567331179576,0.5934160656318637,0.677331402808074,0.5692730569039125,0.548662158188768,0.4649308583530584,0.5033380538134736,0.5986534862827375
2.0,0.6592975913882271,0.6154957673716784,0.6074149314372778,0.4652274179656025,0.5268971159746368,0.6429173531382946,0.6531510325201534,0.6276390432189017,0.6220947337452192,0.5268468917403762,0.5705227655986509,0.6603612828748828
3.0,0.648819172855826,0.6323367688805913,0.6204612773321796,0.5179906087633019,0.5646143129713196,0.6653190697061997,0.6514090207544877,0.6299783613076788,0.5982886216466234,0.6445745608571073,0.6205697151424289,0.6701397471584548
4.0,0.6417557745726071,0.640968261681287,0.6260110820966818,0.5461921035814509,0.5833840309824463,0.6781194431930261,0.6400991944069262,0.6435464062225861,0.6485696708705014,0.5253519372119098,0.5804941840457017,0.6857023097640701
5.0,0.6370591868439867,0.6460320707910283,0.6296411856474259,0.5606957294879276,0.5931717640834202,0.6862872393951807,0.6334520690803243,0.6478156617346044,0.6557402516700326,0.5258502553880653,0.5836559734513274,0.6986567010172239
6.0,0.6318874408276757,0.6538068080100253,0.6360114690092729,0.5793392792642605,0.6063540530716104,0.6941708186253616,0.6388983158725305,0.644891514123633,0.6338491031083117,0.5766787093559238,0.6039138943248533,0.6866328250290191
7.0,0.6293055382714772,0.6560957520268024,0.6381556966254595,0.5837570503737045,0.6097454798734655,0.6984576498376646,0.6346783464544314,0.6448330311714136,0.6721282593375617,0.47527096050828455,0.5568123768517843,0.7051728002866867
8.0,0.6286580749129502,0.6568374210378252,0.6395111395568559,0.5830068628268178,0.6099531990349117,0.6990607157868715,0.6311894666765843,0.6549505819053746,0.6186544683699654,0.6907935716955276,0.6527369040612125,0.7015985813092454
9.0,0.6272524026622461,0.657911562364134,0.6402100342975081,0.5860631824622823,0.6119411645246453,0.7014411450738041,0.6344424348364407,0.6482250424001403,0.6632057105775471,0.5092811760308957,0.5761398069198788,0.701358966178741
10.0,0.626028715323336,0.6591519398480857,0.6413774304924587,0.5883970992748188,0.613746033126114,0.7032176849605414,0.6268875474811012,0.6624948827416808,0.6267700606877951,0.6947801171047714,0.6590251107828656,0.7119903924892816
11.0,0.6256107074784939,0.660034270223268,0.6421510837036365,0.5902308910560974,0.6150972897845726,0.7039274763452497,0.6293870419798918,0.6535469910521083,0.6726884545902447,0.5102778123832067,0.5803343723434401,0.7100639961492397
12.0,0.6237089921774418,0.6610188997723844,0.6438322917298708,0.5896474118529632,0.6155497222745928,0.7067420002284455,0.6232761014092769,0.6613252236972922,0.6411972720383935,0.632490345085337,0.6368140482910002,0.7088671632710501
13.0,0.6234254040732347,0.6638449144523157,0.6473052983148626,0.5923425300769637,0.6186054609291124,0.7072032384285533,0.6233527823995935,0.6654190303526522,0.6564450474898236,0.6027158340600474,0.6284341105410145,0.7115525514198223
14.0,0.6233020347313046,0.6619140175443083,0.645458975452275,0.588841654858159,0.6158517980385034,0.7072761530059639,0.6319344993174177,0.6538978887654249,0.6127204703367183,0.714089946430796,0.65953285007479,0.704663901363322
15.0,0.6224891520004432,0.663384568169612,0.6465185364818576,0.5925925925925926,0.6183821397506524,0.7086064821794565,0.6212549729998108,0.6645417860693608,0.6609074308189352,0.5861467547028778,0.6212861481579295,0.7130102913799085
16.0,0.6204607770075954,0.6659676223114498,0.6482856026685098,0.5993998499624906,0.622885026274759,0.7117086919288779,0.6244445227936657,0.6598046669395871,0.6264880952380952,0.681823844524729,0.6529857424088766,0.7118825595010139
17.0,0.6203990603742665,0.666018771898417,0.6495954422861299,0.5955933427801395,0.6214233946948833,0.7114864542894941,0.6208558692186993,0.6606234282706591,0.6642540620384048,0.5602342095427931,0.6078259106575657,0.7160515455553557
18.0,0.618683716099371,0.667016188844275,0.6511620841561598,0.5955099886082632,0.6220938670072272,0.7141177158969565,0.6373675408868931,0.6516170536288672,0.6710178453403833,0.5059175283418462,0.5768875630371475,0.7058806117646593
19.0,0.6203440313467159,0.6657374491700979,0.6491355557574106,0.5956766969520157,0.621258222492683,0.711476702220654,0.6256121600278672,0.6553014796186911,0.6650162463252359,0.5354428802790582,0.5932367149758454,0.7118824977056052
20.0,0.6187285387335536,0.6682821411217105,0.6520331598692969,0.5987885860353978,0.6242776240893356,0.7137558970618098,0.620045198952359,0.6658284110181882,0.6412950519242516,0.6539180266600224,0.6475450283740438,0.7148982372433953
