epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1.0,0.6641805232377592,0.6096135648704637,0.5837370454406083,0.5289655747270151,0.5550032796443408,0.6384619665770643,0.6498710542674985,0.6394525995672261,0.6061815693430657,0.6621402765665878,0.6329264662101817,0.6793548707635539
2.0,0.6397228164229685,0.64236208792614,0.6218671203329587,0.5687532994359701,0.5941255006675568,0.6816249741023512,0.6995899531428413,0.5524884496169367,0.5140207881552382,0.8563597857231843,0.6424299065420561,0.6532604823139893
3.0,0.632146192782645,0.6517096749443748,0.6331042452256417,0.57845016809758,0.6045444646098004,0.6945560386737897,0.6334908521588807,0.6534885080998889,0.6153677277716795,0.6983929238818986,0.654256871097625,0.7029307735972222
4.0,0.6242960701604374,0.6618628679573413,0.6433719742927503,0.5952321413686755,0.6183665516893013,0.7062612980429438,0.6230856357655948,0.6584595590385403,0.6910711165472654,0.4927120966737262,0.5752727272727273,0.7186400453693652
5.0,0.62016358609785,0.6663000946267359,0.6496838411036819,0.5966491622905726,0.6220381206187359,0.712392240832366,0.6267964009255915,0.6553014796186911,0.6811003565970454,0.49968855113990285,0.5764587525150906,0.7162386757853619
6.0,0.6158223341854053,0.672271808905143,0.6584888345059652,0.5980939679364285,0.6268400285377324,0.718056921120006,0.6288422148745969,0.6575238318030294,0.646788370520622,0.5958639591379096,0.620282713007392,0.7049671794971513
7.0,0.6138689445749896,0.6734354620086442,0.6593202255753696,0.6009557945041816,0.6287865573579859,0.7209935648911346,0.6611741179366915,0.6361775542429382,0.715,0.37411237074872306,0.4912079823341785,0.7204183455792609
8.0,0.6128617627980877,0.6753663589166518,0.6624685910400196,0.6006779472645939,0.6300619307832422,0.7222188175058053,0.6167250082042316,0.667582899584771,0.6818252366909825,0.5472779369627507,0.6071872840359365,0.7251981998475603
9.0,0.6117522043128907,0.6774890667757858,0.6619451461566221,0.6115695590564307,0.6357610155539188,0.7238441399325323,0.6119756571688396,0.6729633311889585,0.6669866959264847,0.6058303226610191,0.6349392871132002,0.7267751088203416
10.0,0.6107678183774284,0.6778087516943301,0.6637342636129228,0.6079297602178322,0.6346075758454666,0.7250066598655671,0.6179373301890267,0.6737820925200304,0.6323068611561318,0.7290394917154603,0.6772364309686378,0.7281974537435274
11.0,0.6091489705819065,0.6796757116186287,0.6641264888542198,0.6150426495512767,0.6386428550820807,0.7272747071813715,0.6108903681662314,0.677408035557635,0.678009357720119,0.5957393795938707,0.6342175066312997,0.7281260525817957
12.0,0.607482350339658,0.680494105010102,0.6651757572118993,0.6156816982023283,0.6394724691215514,0.7294030495533828,0.6180006407898025,0.6707994619568396,0.6675985462678222,0.5949919023296375,0.6292075620841843,0.7168764044036562
13.0,0.6076838153316702,0.6817216950973121,0.6666266398486986,0.6169875802283904,0.640847305994055,0.7290064134200483,0.6130975494399267,0.6844259898239663,0.6657844990548204,0.658153731157344,0.6619471244204986,0.7330238262223022
14.0,0.6079912761563137,0.6802255696785249,0.6653818357022404,0.613931260592926,0.6386219454038353,0.7285308836389169,0.6276103025800659,0.6592198374173929,0.6147028154327424,0.7343964121091316,0.6692399386955781,0.7163272492045695
15.0,0.6068619617061942,0.6820797422060817,0.6676912877075611,0.6155983440304521,0.6405875039754821,0.7300215741328561,0.6146566365760588,0.6796303877419733,0.6448789360009094,0.7067397533325028,0.6743937232524964,0.7330499450817336
16.0,0.6060955351930893,0.6817856320810209,0.6674506965804233,0.6149870801033591,0.6401457637412693,0.7309804061245926,0.609717049161707,0.6816188081174338,0.6475831333561879,0.7059922760682696,0.6755274764572655,0.7348137165044166
17.0,0.6050039503291508,0.6851231426306232,0.6707833769043541,0.6202383929315662,0.644521437851884,0.7324374407745959,0.6141427507197775,0.6762383765132464,0.6505499818687296,0.670487106017192,0.6603680981595091,0.7253153639425493
18.0,0.6047190490828362,0.6831155213421651,0.6685511517411439,0.6177099830513184,0.6421257852552532,0.7328386193821678,0.7540828352246662,0.6038364816655944,0.7279010549290651,0.2492836676217765,0.37138084632516705,0.7219626334423789
19.0,0.6052586154544028,0.6851998670110739,0.6709454381482038,0.6201272540357311,0.6445362134688691,0.7319579671832348,0.6065486348074802,0.6835487455406749,0.6635408852213053,0.6611436402142769,0.6623400936037441,0.7333073366914881
20.0,0.6049632369650315,0.6836525920053196,0.668271819106299,0.6207940874107416,0.6436586244148362,0.7325835088684332,0.604083872690585,0.681092461547459,0.6685878962536023,0.6358539927743865,0.6518102292318498,0.735106001921645
